date,max_temp,min_temp,avg_temp
2026-05-03,,,
2026-05-04,,,
2026-05-05,,,
2026-05-06,,,
2026-05-07,,,
2026-05-08,,,
2026-05-09,,,
2026-05-10,,,
2026-05-11,,,
2026-05-12,,,
2026-05-13,,,
2026-05-14,,,
2026-05-15,,,
2026-05-16,,,
2026-05-17,,,
2026-05-18,,,
2026-05-19,,,
2026-05-20,,,
2026-05-21,,,
2026-05-22,,,
2026-05-23,,,
2026-05-24,,,
2026-05-25,,,
2026-05-26,,,
2026-05-27,,,
2026-05-28,32.3,26.8,29.549999999999997
2026-05-29,35.1,24.2,29.65
2026-05-30,31.2,25.4,28.299999999999997
2026-05-31,29.9,25.6,27.75
2026-06-01,30.0,26.6,28.3
2026-06-02,31.5,24.1,27.8
2026-06-03,31.7,27.6,29.65
2026-06-04,34.5,28.6,31.55
2026-06-05,34.2,24.9,29.55
2026-06-06,32.8,24.4,28.599999999999998
2026-06-07,29.5,25.3,27.4
2026-06-08,28.3,24.9,26.6
2026-06-09,26.9,22.6,24.75
2026-06-10,27.4,23.5,25.45
2026-06-11,28.0,24.3,26.15
2026-06-12,28.8,24.5,26.65
2026-06-13,29.2,24.4,26.799999999999997
2026-06-14,27.5,24.4,25.95
2026-06-15,27.9,25.3,26.6
2026-06-16,25.7,24.0,24.85
2026-06-17,27.3,23.9,25.6
2026-06-18,26.7,23.7,25.2
2026-06-19,29.6,26.4,28.0
2026-06-20,30.5,26.5,28.5
2026-06-21,31.1,27.0,29.05
2026-06-22,31.4,27.1,29.25
2026-06-23,30.6,27.5,29.05
2026-06-24,31.5,25.6,28.55
2026-06-25,31.5,25.2,28.35
2026-06-26,29.8,25.0,27.4
2026-06-27,29.6,24.6,27.1
2026-06-28,28.7,24.6,26.65
2026-06-29,31.3,24.9,28.1
2026-06-30,30.4,26.8,28.6
2026-07-01,31.1,26.6,28.85
2026-07-02,31.1,26.4,28.75
2026-07-03,30.6,24.9,27.75
2026-07-04,28.6,25.6,27.1
2026-07-05,29.6,25.0,27.3
2026-07-06,29.9,25.1,27.5
2026-07-07,27.8,24.4,26.1
2026-07-08,29.8,25.4,27.6
2026-07-09,30.3,26.3,28.3
2026-07-10,31.8,26.3,29.05
2026-07-11,33.9,27.3,30.6
2026-07-12,32.6,27.2,29.9
2026-07-13,31.2,25.5,28.35
2026-07-14,28.0,24.7,26.35
2026-07-15,28.2,24.5,26.35
2026-07-16,27.4,24.9,26.15
2026-07-17,29.8,23.6,26.700000000000003
2026-07-18,29.6,25.4,27.5
2026-07-19,29.6,25.3,27.450000000000003
2026-07-20,28.7,24.6,26.65
2026-07-21,29.8,25.6,27.700000000000003
2026-07-22,30.3,25.2,27.75
2026-07-23,31.2,26.3,28.75
2026-07-24,32.4,26.3,29.35
2026-07-25,33.1,24.5,28.8
2026-07-26,26.9,25.0,25.95
2026-07-27,26.7,24.3,25.5
2026-07-28,29.1,23.3,26.200000000000003
2026-07-29,27.0,24.3,25.65
2026-07-30,27.1,24.1,25.6
2026-07-31,27.3,23.6,25.450000000000003
2026-08-01,28.5,24.0,26.25
2026-08-02,25.9,23.8,24.85
2026-08-03,28.2,24.8,26.5
