date,max_temp,min_temp,avg_temp
2026-05-03,,,
2026-05-04,,,
2026-05-05,,,
2026-05-06,,,
2026-05-07,,,
2026-05-08,,,
2026-05-09,,,
2026-05-10,,,
2026-05-11,,,
2026-05-12,,,
2026-05-13,,,
2026-05-14,,,
2026-05-15,,,
2026-05-16,,,
2026-05-17,,,
2026-05-18,,,
2026-05-19,,,
2026-05-20,,,
2026-05-21,,,
2026-05-22,,,
2026-05-23,,,
2026-05-24,,,
2026-05-25,,,
2026-05-26,,,
2026-05-27,,,
2026-05-28,31.2,15.7,23.45
2026-05-29,26.7,18.3,22.5
2026-05-30,30.0,16.6,23.3
2026-05-31,23.0,15.8,19.4
2026-06-01,24.4,13.7,19.049999999999997
2026-06-02,19.8,14.2,17.0
2026-06-03,19.1,12.6,15.850000000000001
2026-06-04,17.8,13.0,15.4
2026-06-05,17.7,11.5,14.6
2026-06-06,16.9,12.5,14.7
2026-06-07,18.4,11.8,15.1
2026-06-08,16.4,12.4,14.399999999999999
2026-06-09,18.8,9.8,14.3
2026-06-10,17.2,10.3,13.75
2026-06-11,16.4,10.2,13.299999999999999
2026-06-12,22.1,15.2,18.65
2026-06-13,21.5,13.1,17.3
2026-06-14,21.1,12.9,17.0
2026-06-15,22.6,14.0,18.3
2026-06-16,26.5,16.0,21.25
2026-06-17,24.9,17.6,21.25
2026-06-18,25.6,17.4,21.5
2026-06-19,30.2,18.5,24.35
2026-06-20,25.6,18.1,21.85
2026-06-21,29.6,20.5,25.05
2026-06-22,28.0,17.9,22.95
2026-06-23,34.1,19.0,26.55
2026-06-24,35.9,23.8,29.85
2026-06-25,31.1,21.8,26.450000000000003
2026-06-26,35.9,23.6,29.75
2026-06-27,32.0,22.3,27.15
2026-06-28,25.8,18.6,22.200000000000003
2026-06-29,23.9,14.5,19.2
2026-06-30,24.5,18.0,21.25
2026-07-01,26.1,17.0,21.55
2026-07-02,26.0,16.9,21.45
2026-07-03,27.1,14.2,20.65
2026-07-04,28.2,16.2,22.2
2026-07-05,28.8,17.3,23.05
2026-07-06,31.9,18.8,25.35
2026-07-07,31.6,20.2,25.9
2026-07-08,32.5,20.8,26.65
2026-07-09,34.1,21.6,27.85
2026-07-10,30.0,22.3,26.15
2026-07-11,29.9,18.6,24.25
2026-07-12,29.9,17.4,23.65
2026-07-13,27.5,16.1,21.8
2026-07-14,30.3,16.9,23.6
2026-07-15,28.3,17.9,23.1
2026-07-16,28.9,17.2,23.049999999999997
2026-07-17,28.9,16.6,22.75
2026-07-18,22.7,16.2,19.45
2026-07-19,22.6,13.5,18.05
2026-07-20,25.6,13.1,19.35
2026-07-21,23.1,15.7,19.4
2026-07-22,26.6,17.2,21.9
2026-07-23,26.6,17.5,22.05
2026-07-24,28.0,18.4,23.2
2026-07-25,28.8,17.4,23.1
2026-07-26,25.9,18.7,22.299999999999997
2026-07-27,26.9,16.6,21.75
2026-07-28,29.2,19.0,24.1
2026-07-29,33.8,19.8,26.799999999999997
2026-07-30,27.8,19.5,23.65
2026-07-31,25.7,17.1,21.4
2026-08-01,26.0,16.3,21.15
2026-08-02,27.0,16.7,21.85
2026-08-03,30.7,18.5,24.6
